latitude,longitude
-69.40628633627163,-68.8402144037765
-69.40132141113263,-68.84088134765626
-69.39376831054669,-68.81182861328125
-69.3997268676756,-68.76791381835938
-69.39360809326153,-68.74072265625
-69.39239501953107,-68.73184204101562
-69.38887786865216,-68.73236083984375
-69.38378906249983,-68.70401000976562
-69.38717651367169,-68.67648315429688
-69.38389587402324,-68.669921875
-69.3824920654295,-68.651123046875
-69.38773345947246,-68.62829589843749
-69.38389587402324,-68.591796875
-69.39186859130841,-68.5455322265625
-69.38856506347639,-68.53900146484375
-69.38441467285136,-68.54360961914064
-69.38293457031233,-68.55886840820312
-69.37774658203107,-68.56463623046875
-69.37651824951153,-68.55581665039062
-69.37889099121072,-68.51239013671875
-69.38743591308574,-68.47903442382812
-69.38414001464825,-68.4725341796875
-69.38043212890607,-68.46307373046875
-69.37981414794903,-68.45013427734376
-69.38483428955058,-68.41729736328125
-69.39314270019511,-68.407958984375
-69.40395355224591,-68.36514282226564
-69.40729522705057,-68.3375244140625
-69.40544891357403,-68.31576538085938
-69.39531707763652,-68.28628540039062
-69.38868713378886,-68.2904052734375
-69.37998962402324,-68.29681396484375
-69.37088775634744,-68.28326416015625
-69.36322784423808,-68.28851318359375
-69.35680389404278,-68.28555297851562
-69.34728240966776,-68.26910400390625
-69.34418487548807,-68.2725830078125
-69.34375762939433,-68.28668212890626
-69.33485412597638,-68.30010986328125
-69.33401489257794,-68.31124877929688
-69.3253173828123,-68.317626953125
-69.31949615478496,-68.34454345703125
-69.31287384033183,-68.34860229492188
-69.30645751953107,-68.34561157226562
-69.29425048828105,-68.3355712890625
-69.2863998413084,-68.31390380859375
-69.27980804443338,-68.26708984375001
-69.2843704223631,-68.2314453125
-69.2922363281248,-68.21917724609375
-69.29472351074199,-68.20281982421875
-69.3081817626951,-68.18759155273438
-69.31893920898419,-68.17880249023438
-69.32059478759747,-68.15655517578125
-69.3129119873045,-68.11090087890625
-69.32574462890605,-68.09967041015625
-69.3319549560545,-68.09262084960938
-69.33319091796855,-68.08441162109376
-69.33144230966458,-68.0489905843242
-69.32402038574199,-68.02001953125
-69.31988525390607,-68.02474975585938
-69.3140792846678,-68.01779174804688
-69.31240081787092,-68.00607299804688
-69.3080596923826,-68.0008544921875
-69.3038787841795,-67.97161865234376
-69.30818176269511,-67.94290161132814
-69.30525207519513,-67.92245483398438
-69.3081283569334,-67.908935546875
-69.31432342529277,-67.90182495117188
-69.3205566406248,-67.91171264648438
-69.32510375976543,-67.90988159179688
-69.32936096191385,-67.86410522460938
-69.3334960937498,-67.859375
-69.33491516113261,-67.84408569335938
-69.34007263183575,-67.838134765625
-69.3456954956053,-67.85211181640625
-69.35689544677717,-67.86306762695314
-69.36309051513653,-67.85592651367188
-69.36518626612369,-67.83439247289367
-69.36795043945294,-67.80593872070312
-69.3731155395506,-67.79995727539064
-69.37016296386699,-67.77947998046875
-69.37405395507793,-67.76470947265625
-69.3880963508466,-67.71966419196539
-69.39698791503888,-67.68634796142578
-69.39954376220683,-67.68128204345703
-69.40409851074202,-67.66973876953125
-69.40670013427717,-67.63966369628906
-69.40904235839825,-67.62548828125
-69.41331481933577,-67.60696411132812
-69.42233276367168,-67.58078002929688
-69.42667388915997,-67.56526947021484
-69.4354934692381,-67.55282592773438
-69.44593048095685,-67.50614166259766
-69.4526062011717,-67.49410247802734
-69.45774078369124,-67.4890823364258
-69.46660614013655,-67.47444152832031
-69.47373962402324,-67.42526245117188
-69.4741897583006,-67.37559509277345
-69.47595214843734,-67.3274917602539
-69.4754638671873,-67.28414154052734
-69.47232818603497,-67.27532196044922
-69.4576873779295,-67.26560974121094
-69.44860839843732,-67.25135040283203
-69.44173431396467,-67.2470245361328
-69.43187713623028,-67.23997497558594
-69.4284133911131,-67.23889160156251
-69.42639923095685,-67.26008605957031
-69.42002868652325,-67.27914428710938
-69.41634368896464,-67.29396820068361
-69.41847991943341,-67.30602264404297
-69.41963195800763,-67.32135009765625
-69.41445159912091,-67.31603240966797
-69.40520477294903,-67.31554412841797
-69.39781188964825,-67.33264923095703
-69.380905151367,-67.32249450683595
-69.3719711303709,-67.30915069580078
-69.36816406249982,-67.30325317382812
-69.3584671020506,-67.27731323242189
-69.35167694091777,-67.28849029541016
-69.34901428222639,-67.285400390625
-69.34104919433575,-67.28861236572266
-69.337692260742,-67.28324127197266
-69.33953094482403,-67.27586364746094
-69.33524322509747,-67.25184631347656
-69.33145904540997,-67.23867797851562
-69.32595825195295,-67.23377990722656
-69.32305145263653,-67.24139404296875
-69.31953430175763,-67.2746353149414
-69.31402696107746,-67.28079473622219
-69.30496897717948,-67.23895150871263
-69.29857635498027,-67.20947265625
-69.29331970214824,-67.20343017578125
-69.28591918945291,-67.21221923828125
-69.28066253662091,-67.20614624023438
-69.25668678264046,-67.13454763181637
-69.26939954623711,-66.9897626767399
-69.24171242955563,-66.88458215973986
-69.23687960324982,-66.86627775505787
-69.23162295041777,-66.86029630974537
-69.20535953104664,-66.84775877256385
-69.18683624267558,-66.900634765625
-69.18369293212871,-66.8798828125
-69.17842864990214,-66.87393188476562
-69.17684936523416,-66.86358642578126
-69.16738440229736,-66.88278718539648
-69.16481846709645,-66.87548875976795
-69.15921012062869,-66.85571687633349
-69.15465698937389,-66.85157799817718
-69.1493505779987,-66.85892114665002
-69.14709544186506,-66.86626678021139
-69.14796810649828,-66.88166415718077
-69.14694384719074,-66.8935692325106
-69.14502863923518,-66.90064585730397
-69.13967175953172,-66.90817843084464
-69.13425817796876,-66.92231073125876
-69.1280190110805,-66.92403798092037
-69.11255645751932,-66.92831420898438
-69.1046905517576,-66.87661743164062
-69.09918312393212,-66.8832039851486
-69.09508514404277,-66.87383270263672
-69.09611511230447,-66.84684753417969
-69.09478759765602,-66.83814239501953
-69.08519744873026,-66.79710388183594
-69.07449340820291,-66.78729248046875
-69.0730285644529,-66.77772521972656
-69.07115936279277,-66.7655563354492
-69.0685806274412,-66.75835418701172
-69.0648956298826,-66.7535171508789
-69.05907440185526,-66.75638580322266
-69.05037689208964,-66.76683044433594
-69.03839111328104,-66.78942108154297
-69.03754425048805,-66.80071258544922
-69.03279113769509,-66.83927154541016
-69.03388977050759,-66.87287139892578
-69.03588104248024,-66.88590240478517
-69.03773498535135,-66.89806365966797
-69.04491424560526,-66.92340850830078
-69.0580596923826,-66.91802215576172
-69.05308345763366,-66.93818017849283
-69.0493469238279,-66.942626953125
-69.04316898923918,-66.95984302806805
-69.03716932782115,-66.97654776939233
-69.03497314453102,-66.96910095214844
-69.03308105468727,-66.95185089111328
-69.02201080322243,-66.91062927246094
-69.01975250244118,-66.8958740234375
-69.01945495605447,-66.88186645507811
-69.02070617675759,-66.85163879394531
-69.01795959472635,-66.8385009765625
-69.01347351074197,-66.8356399536133
-69.00849914550759,-66.83439636230469
-69.00428771972634,-66.82609558105469
-69.00112915039041,-66.8247299194336
-68.99700164794899,-66.83375549316406
-68.99056243896463,-66.84451293945312
-68.98310089111305,-66.85340118408203
-68.97198486328102,-66.884033203125
-68.97006988525368,-66.89552307128906
-68.96512603759741,-66.92082977294922
-68.96477508544899,-66.9642105102539
-68.96629333496071,-66.99820709228516
-68.96395111083962,-67.02141571044922
-68.95931243896462,-67.03915405273438
-68.95571136474587,-67.07098388671876
-68.95202636718727,-67.11922454833984
-68.94777679443338,-67.13236999511719
-68.94638824462868,-67.14012908935547
-68.94908142089821,-67.14820098876953
-68.95137786865212,-67.15367126464844
-68.95343780517555,-67.1624755859375
-68.95390319824196,-67.17520904541016
-68.95107269287087,-67.20352172851562
-68.9491271972654,-67.22259521484376
-68.94545745849587,-67.230224609375
-68.94504547119116,-67.26763916015625
-68.93769836425759,-67.28292846679688
-68.93334960937479,-67.31817626953125
