x,y
244.681,289.739
244.929,289.328
244.948,289.021
244.939,288.769
245.135,288.033
245.276,287.416
245.591,286.458
245.610,286.216
246.290,284.380
246.094,283.662
245.796,283.541
245.423,283.513
245.312,283.457
245.116,283.504
244.976,283.606
244.874,283.597
244.687,283.364
244.762,282.963
244.594,282.954
244.491,282.991
244.380,283.149
244.249,283.233
243.839,283.252
243.718,283.215
243.541,283.345
242.963,283.457
242.795,283.606
242.637,283.634
242.395,283.634
242.292,283.578
242.227,283.410
242.190,283.252
242.059,283.224
241.957,283.252
241.891,283.317
241.817,283.420
241.807,283.532
241.817,283.615
241.705,283.671
241.416,283.783
241.211,283.774
241.164,283.690
241.202,283.513
241.108,283.466
241.015,283.457
240.922,283.485
240.782,283.578
240.652,283.615
240.512,283.532
240.475,283.336
240.400,283.205
240.223,283.159
240.083,283.131
239.925,282.926
239.888,282.730
239.776,282.432
239.543,282.320
239.245,282.357
238.853,282.497
238.695,282.488
238.779,282.329
239.049,282.050
239.301,282.087
239.440,281.919
239.450,281.630
239.450,281.062
239.580,280.717
239.878,280.680
240.121,280.698
240.195,280.754
240.167,280.950
240.232,281.043
240.531,281.155
240.652,281.276
240.698,281.435
240.903,281.528
241.369,281.407
241.565,281.435
241.696,281.183
241.733,280.838
241.630,280.792
241.295,280.764
241.164,280.745
241.136,280.801
241.183,280.922
241.174,281.025
241.053,281.015
241.025,280.931
240.950,280.680
240.959,280.438
241.062,280.363
241.220,280.382
241.369,280.447
241.463,280.540
241.602,280.596
241.733,280.521
241.742,280.372
241.817,280.251
241.929,280.242
242.143,280.344
242.273,280.260
242.432,280.214
242.739,280.195
242.954,279.869
243.420,279.813
243.820,279.608
243.895,279.291
243.858,279.142
243.839,279.002
243.960,278.956
244.119,278.788
244.193,278.760
244.342,278.853
244.333,279.040
244.426,279.198
244.790,279.338
245.218,279.627
245.722,279.524
245.927,279.273
245.964,278.984
245.955,278.741
246.150,278.238
246.737,276.439
247.008,275.582
247.092,274.818
247.322,274.262
247.296,274.186
247.286,274.142
247.287,274.103
247.287,274.065
247.261,274.039
247.248,273.988
247.248,273.848
247.197,273.822
247.184,273.771
247.121,273.720
247.095,273.682
247.044,273.644
247.031,273.605
246.986,273.510
246.929,273.478
246.865,273.401
246.775,273.310
246.725,273.274
246.725,273.235
246.699,273.210
246.687,273.159
246.648,273.120
246.607,273.072
246.563,273.058
246.515,273.021
246.461,272.998
246.316,272.954
246.291,272.916
246.265,272.878
246.242,272.852
246.228,272.808
246.190,272.783
246.153,272.742
246.087,272.674
246.074,272.610
246.074,272.572
246.036,272.533
246.036,272.495
246.001,272.417
245.908,272.278
245.857,272.201
245.814,272.152
245.778,272.107
245.737,272.054
245.691,271.997
245.660,271.972
245.621,271.912
245.568,271.869
245.509,271.825
245.438,271.774
245.362,271.766
245.240,271.715
245.157,271.690
245.066,271.627
245.040,271.601
245.027,271.563
245.015,271.499
244.979,271.456
244.912,271.410
244.900,271.346
244.951,271.282
244.964,271.180
245.002,271.129
244.990,271.085
245.007,270.979
244.965,270.959
244.917,270.979
244.818,271.276
244.771,271.384
244.712,271.508
244.661,271.607
244.622,271.679
244.584,271.762
244.569,271.827
244.557,271.884
244.546,271.921
244.521,271.961
244.488,272.023
244.445,272.050
244.416,272.080
244.376,272.078
244.339,272.075
244.307,272.053
244.241,272.012
244.201,271.986
244.157,271.951
244.119,271.875
244.110,271.784
244.092,271.731
244.083,271.699
244.036,271.687
244.001,271.711
243.960,271.704
243.926,271.695
243.869,271.651
243.855,271.609
243.869,271.561
243.875,271.524
243.813,271.394
243.768,271.335
243.743,271.316
243.706,271.271
243.683,271.220
243.657,271.186
243.625,271.114
243.595,271.067
243.521,271.006
243.496,270.963
243.492,270.929
243.514,270.864
243.530,270.818
243.578,270.738
243.661,270.693
243.747,270.660
243.798,270.643
243.897,270.594
243.927,270.588
244.034,270.565
244.079,270.510
244.136,270.422
244.136,270.379
244.128,270.328
244.129,270.186
244.153,270.101
244.176,270.046
244.216,269.982
244.322,269.876
244.303,269.720
244.406,269.578
244.440,269.508
244.509,269.382
244.538,269.318
244.530,269.266
244.504,269.240
244.491,269.138
244.491,269.087
244.498,268.979
244.466,268.921
244.453,268.793
244.427,268.768
244.415,268.717
244.389,268.691
244.389,268.653
244.351,268.602
244.351,268.551
244.300,268.474
244.274,268.449
244.262,268.411
244.236,268.385
244.223,268.347
244.210,268.296
244.198,268.257
244.175,268.228
244.096,268.168
244.096,268.130
244.033,268.104
243.937,268.054
243.879,268.028
243.866,267.977
243.802,267.938
243.789,267.900
243.687,267.798
243.674,267.721
243.642,267.663
243.572,267.645
243.547,267.606
243.521,267.581
243.521,267.504
243.521,267.351
243.559,267.300
243.572,267.057
243.611,266.955
243.598,266.840
243.585,266.726
243.559,266.675
243.534,266.649
243.521,266.598
243.496,266.572
243.483,266.521
243.381,266.458
243.355,266.432
243.330,266.381
243.228,266.317
243.202,266.292
243.164,266.279
243.138,266.253
243.087,266.228
242.962,266.186
242.697,266.172
242.533,266.212
242.375,266.301
242.290,266.429
242.268,266.501
242.201,266.615
242.207,266.713
242.232,266.802
242.232,266.853
242.206,266.930
242.219,267.032
242.258,267.211
242.207,267.351
242.206,267.466
242.152,267.606
242.142,267.642
242.137,267.774
242.173,267.800
242.117,268.054
242.046,268.115
242.015,268.176
241.985,268.242
241.985,268.334
242.020,268.400
242.025,268.527
242.020,268.639
241.974,268.812
241.908,269.000
241.786,269.188
241.781,269.259
241.822,269.300
241.852,269.336
241.852,269.417
241.847,269.569
241.791,269.707
241.679,269.951
241.629,269.992
241.603,270.073
241.603,270.200
241.542,270.287
241.384,270.353
241.257,270.358
241.196,270.327
241.166,270.266
241.135,270.185
241.140,270.027
241.151,269.987
241.130,269.920
241.074,269.905
241.018,269.951
240.983,270.002
240.927,270.037
240.845,269.992
240.683,269.915
240.235,269.783
240.133,269.793
240.067,269.829
239.986,269.798
239.910,269.707
239.900,269.615
239.869,269.559
239.808,269.508
239.737,269.442
239.752,269.142
239.798,268.944
239.823,268.898
239.859,268.781
239.844,268.725
239.818,268.624
239.674,268.536
239.673,268.535
239.688,268.488
239.574,268.459
239.489,268.384
239.304,268.251
239.037,268.154
238.836,268.010
238.729,268.003
238.534,268.056
238.423,268.090
238.358,268.144
238.260,268.163
238.206,268.227
238.113,268.232
238.058,268.257
238.010,268.289
237.956,268.295
237.875,268.342
237.739,268.384
237.522,268.564
237.522,268.602
237.459,268.669
237.433,268.718
237.386,268.887
237.310,268.984
237.225,269.004
237.172,269.023
237.149,269.078
237.092,269.222
237.099,269.254
237.145,269.361
237.090,269.414
237.069,269.442
237.072,269.487
237.088,269.531
237.122,269.588
237.129,269.620
237.090,269.693
237.072,269.741
237.092,269.838
237.092,269.941
237.085,269.993
237.021,270.028
236.971,270.057
236.884,270.085
236.847,270.135
236.804,270.144
236.721,270.083
236.618,269.945
236.515,269.780
236.536,269.748
236.570,269.704
236.526,269.687
236.399,269.636
236.256,269.626
236.175,269.689
236.054,269.779
235.946,269.804
235.819,269.817
235.687,269.842
235.604,269.883
235.542,269.923
235.480,269.853
235.403,269.815
235.395,269.781
235.364,269.763
235.271,269.776
235.033,269.789
234.995,269.780
234.882,269.754
234.905,269.817
234.931,269.866
234.931,269.908
234.875,269.948
234.841,270.011
234.763,270.031
234.727,270.054
234.754,270.101
234.916,270.137
234.856,270.166
234.786,270.172
234.704,270.133
234.628,270.054
234.535,269.993
234.446,269.993
234.292,269.987
234.089,270.031
233.986,270.146
233.905,270.166
233.878,270.215
233.832,270.275
233.755,270.288
233.762,270.376
233.693,270.504
233.636,270.529
233.624,270.589
233.658,270.633
233.637,270.772
233.603,270.884
233.631,270.916
233.740,271.094
233.729,271.131
233.712,271.188
233.713,271.255
233.838,271.196
233.881,271.203
233.909,271.175
233.955,271.153
234.008,271.158
234.055,271.181
234.112,271.217
234.194,271.229
234.232,271.221
234.266,271.206
234.308,271.157
234.336,271.126
234.368,271.119
234.407,271.107
234.432,271.160
234.394,271.312
234.349,271.504
234.354,271.567
234.400,271.684
234.405,271.768
234.347,271.882
234.288,271.924
234.211,271.953
234.177,271.991
234.140,272.033
234.021,272.106
233.987,272.168
233.952,272.221
233.890,272.265
233.817,272.298
233.710,272.336
233.530,272.525
233.364,272.720
233.302,272.823
233.249,272.933
233.241,272.985
233.247,273.085
233.251,273.169
233.261,273.238
233.261,273.282
233.250,273.312
233.204,273.419
233.243,273.506
233.258,273.755
233.264,273.882
233.252,273.941
233.245,274.038
233.271,274.156
233.222,274.203
233.177,274.210
233.131,274.188
233.040,274.129
232.879,274.007
232.819,273.976
232.821,273.922
232.742,273.718
232.736,273.682
232.748,273.589
232.787,273.487
232.838,273.456
232.868,273.444
232.898,273.434
232.904,273.400
232.853,273.382
232.819,273.397
232.724,273.414
232.608,273.384
232.561,273.335
232.529,273.276
232.550,273.228
232.595,273.165
232.659,273.083
232.702,273.017
232.748,272.902
232.773,272.861
232.800,272.831
232.835,272.801
232.895,272.677
232.897,272.631
232.896,272.598
232.887,272.563
232.846,272.476
232.864,272.436
232.885,272.367
232.893,272.330
232.894,272.250
232.882,272.157
232.856,272.080
232.845,272.042
232.819,271.999
232.803,271.959
232.779,271.939
232.723,271.910
232.652,271.922
232.686,271.936
232.721,271.956
232.745,271.999
232.737,272.036
232.751,272.074
232.778,272.106
232.788,272.146
232.788,272.206
232.807,272.309
232.811,272.393
232.795,272.461
232.725,272.502
232.676,272.528
232.631,272.583
232.575,272.626
232.468,272.674
232.366,272.689
232.301,272.723
232.236,272.778
232.073,272.919
232.059,273.054
232.062,273.158
232.132,273.223
232.140,273.268
232.171,273.295
232.179,273.342
232.212,273.375
232.237,273.356
232.275,273.356
232.294,273.383
232.328,273.364
232.369,273.335
232.424,273.322
232.465,273.322
232.501,273.327
232.539,273.354
232.529,273.416
232.555,273.461
232.540,273.499
232.511,273.486
232.441,273.469
232.392,273.480
232.317,273.556
232.233,273.622
232.215,273.650
232.192,273.744
232.178,273.785
232.130,273.840
232.117,273.903
232.133,273.945
232.184,273.980
232.305,274.034
232.393,274.110
232.544,274.244
232.744,274.383
232.895,274.482
232.944,274.525
232.959,274.595
232.968,274.685
232.995,274.758
233.032,274.780
233.071,274.752
233.077,274.715
233.092,274.661
233.087,274.612
233.099,274.578
233.153,274.491
233.267,274.383
233.286,274.326
233.335,274.324
233.508,274.371
233.610,274.392
233.710,274.385
233.936,274.334
234.061,274.317
234.277,274.319
234.351,274.327
234.405,274.349
234.459,274.395
234.498,274.450
234.504,274.523
234.481,274.604
234.424,274.697
234.314,274.801
234.165,274.868
234.026,274.898
233.811,275.003
233.729,275.040
233.668,275.101
233.572,275.213
233.548,275.233
233.403,275.299
233.384,275.326
233.377,275.409
233.350,275.469
233.260,275.557
233.172,275.642
233.100,275.743
233.051,275.778
233.006,275.785
232.951,275.768
232.880,275.748
232.846,275.756
232.820,275.776
232.799,275.816
232.787,275.890
232.775,276.015
232.754,276.107
232.711,276.170
232.670,276.250
232.669,276.316
232.649,276.354
232.595,276.430
232.467,276.545
232.423,276.571
232.325,276.573
232.256,276.538
232.197,276.440
232.148,276.268
232.156,276.104
232.164,275.943
232.100,275.719
232.029,275.636
231.963,275.618
231.882,275.621
231.843,275.625
231.799,275.612
231.755,275.570
231.737,275.533
231.720,275.387
231.732,275.355
231.695,275.289
231.657,275.256
231.547,275.196
231.482,275.155
231.401,275.011
231.342,274.869
231.325,274.731
231.295,274.685
231.281,274.630
231.309,274.579
231.373,274.538
231.398,274.513
231.430,274.479
231.507,274.420
231.529,274.332
231.437,274.325
231.377,274.312
231.350,274.293
231.319,274.256
231.288,274.253
231.283,274.308
231.311,274.326
231.317,274.362
231.257,274.445
231.164,274.502
231.131,274.489
231.096,274.468
231.080,274.499
231.118,274.517
231.128,274.555
231.126,274.600
231.104,274.630
231.051,274.639
231.013,274.686
230.939,274.739
230.870,274.759
230.816,274.733
230.725,274.838
230.751,274.878
230.715,274.899
230.685,274.963
230.699,275.009
230.701,275.065
230.685,275.104
230.642,275.176
230.630,275.235
230.631,275.269
230.669,275.358
230.742,275.408
230.772,275.452
230.787,275.513
230.834,275.742
230.849,275.794
230.846,275.853
230.824,275.899
230.764,275.912
230.698,275.899
230.517,275.822
230.469,275.840
230.521,275.922
230.522,275.965
230.485,275.996
230.457,275.981
230.424,276.014
230.421,276.060
230.336,276.120
230.083,276.241
230.007,276.334
229.910,276.465
229.721,276.692
229.676,276.741
229.634,276.865
229.668,277.012
229.609,277.143
229.581,277.314
229.617,277.396
229.697,277.466
229.830,277.525
230.020,277.588
230.064,277.624
230.045,277.711
229.990,277.766
229.880,277.903
229.655,278.074
229.600,278.112
229.576,278.297
229.532,278.517
229.473,278.715
229.417,278.777
229.398,278.855
229.366,278.943
229.324,279.002
229.249,279.181
229.235,279.248
229.238,279.286
229.257,279.337
229.269,279.371
229.288,279.459
229.193,279.883
229.052,280.091
229.047,280.199
229.017,280.360
228.955,280.471
228.925,280.496
228.883,280.515
228.875,280.541
228.873,280.548
228.867,280.609
228.856,280.767
228.828,281.168
228.834,281.545
228.811,281.751
228.743,281.961
228.626,282.157
228.599,282.267
228.561,282.368
228.485,282.486
228.445,282.524
228.335,282.534
228.162,282.583
228.044,282.686
227.966,282.735
227.788,282.766
227.662,282.688
227.630,282.620
227.624,282.469
227.571,282.399
227.548,282.487
227.544,282.523
227.417,282.613
227.337,282.672
227.320,282.685
227.121,282.801
226.938,282.836
226.739,282.786
226.659,282.684
226.632,282.625
226.628,282.581
226.664,282.513
226.773,282.440
226.858,282.338
226.843,282.277
226.803,282.196
226.844,282.057
226.850,282.025
226.827,281.970
226.806,281.905
226.797,281.756
226.791,281.650
226.869,281.521
226.939,281.483
227.220,281.344
227.327,281.297
227.505,281.255
227.553,281.217
227.570,281.175
227.558,281.137
227.517,281.118
227.399,281.099
227.311,281.023
227.300,280.920
227.281,280.795
227.250,280.719
227.146,280.700
227.054,280.702
227.014,280.764
226.965,280.842
226.883,280.901
226.832,280.941
226.724,280.991
226.600,281.031
226.456,281.128
226.319,281.248
226.229,281.411
226.221,281.565
226.189,281.711
226.120,281.861
226.042,281.970
226.000,282.146
225.957,282.306
225.917,282.405
225.814,282.483
225.782,282.561
225.721,282.705
225.654,282.782
225.534,282.830
225.407,282.822
225.219,282.699
225.182,282.600
225.180,282.355
225.171,282.282
225.024,282.212
224.967,282.163
224.927,282.119
224.908,281.938
224.883,281.832
224.817,281.741
224.769,281.657
224.708,281.429
224.688,281.421
224.663,281.410
224.594,281.380
224.566,281.332
224.562,281.229
224.531,281.167
224.472,281.165
224.398,281.231
224.400,281.307
224.436,281.380
224.484,281.503
224.459,281.589
224.192,281.906
224.071,281.967
223.985,281.973
223.936,281.937
223.901,281.878
223.871,281.812
223.846,281.852
223.797,281.989
223.717,282.084
223.626,282.135
223.502,282.093
223.474,282.021
223.470,281.987
223.466,281.939
223.434,281.890
223.396,281.839
223.342,281.820
223.282,281.835
223.234,281.833
223.128,281.755
223.053,281.746
222.871,281.782
222.675,281.856
222.562,281.919
222.470,281.980
222.358,282.069
222.258,282.094
222.136,282.069
222.058,281.989
222.026,281.934
222.001,281.896
221.942,281.879
221.847,281.868
221.756,281.828
221.742,281.668
221.759,281.626
221.792,281.590
221.804,281.660
221.875,281.718
222.065,281.624
222.189,281.455
222.240,281.424
222.287,281.352
222.314,281.287
222.378,281.215
222.595,281.118
222.723,280.998
222.797,280.949
222.867,280.876
222.907,280.831
222.953,280.616
222.983,280.521
223.074,280.386
223.114,280.306
223.183,280.163
223.202,280.089
223.264,279.933
223.285,279.880
223.451,279.650
223.474,279.616
223.491,279.557
223.489,279.515
223.506,279.460
223.622,279.361
223.702,279.302
223.742,279.239
223.749,279.188
223.761,279.135
223.892,278.998
223.907,278.967
223.877,278.907
223.814,278.827
223.780,278.756
223.759,278.667
223.730,278.614
223.688,278.587
223.607,278.587
223.584,278.564
223.561,278.528
223.561,278.481
223.586,278.448
223.603,278.410
223.580,278.365
223.529,278.332
223.411,278.300
223.304,278.298
223.207,278.292
223.183,278.258
223.200,278.228
223.276,278.171
223.352,278.036
223.375,277.990
223.382,277.920
223.335,277.889
223.219,277.857
223.120,277.897
223.088,277.876
223.055,277.808
223.017,277.783
222.776,277.764
222.742,277.737
222.692,277.709
222.662,277.697
222.652,277.657
222.654,277.621
222.679,277.579
222.683,277.532
222.662,277.503
222.595,277.486
222.557,277.462
222.521,277.412
222.363,277.230
222.293,277.180
222.158,277.146
222.004,277.169
221.810,277.239
221.675,277.285
221.565,277.395
221.409,277.627
221.335,277.777
221.293,277.973
221.278,278.178
221.289,278.291
221.211,278.479
221.203,278.568
221.222,278.648
221.162,278.832
221.068,278.950
221.063,279.137
221.080,279.395
221.049,279.452
221.008,279.568
221.002,279.834
221.021,280.066
221.074,280.188
221.226,280.464
